Stakeholder Team,Example in a Sentence,Industry,Why It Matters,Large Companies,Category (Industry Specific or Team),Definition,Name
"Finance, Executive Team","Revenue per employee increased to $250,000.",Manufacturing,Shows workforce productivity.,"General Electric, Toyota, Siemens",Finance,Revenue generated per employee.,Revenue per Employee
"Operations, Product",Return rate stabilized at 2% after QA improvements.,Manufacturing,Indicates quality and customer satisfaction.,"General Electric, Toyota, Siemens",Product,Percentage of products returned by customers.,Return Rate
"Operations, Quality Teams",Defect rate dropped to 0.5%.,Manufacturing,Tracks product quality and customer satisfaction.,"General Electric, Toyota, Siemens",Quality,Percentage of defective products produced.,Defect Rate
"Operations, Customer Success",Lead time fell to 5 days for custom orders.,Manufacturing,Measures responsiveness and efficiency.,"General Electric, Toyota, Siemens",Operations,Time from order receipt to shipment.,Order Lead Time
"Operations, Executive Team",Capacity utilization reached 88%.,Manufacturing,Shows efficiency and demand fulfillment.,"General Electric, Toyota, Siemens",Operations,Percentage of production capacity being used.,Capacity Utilization
"Operations, Quality Teams",Scrap rate reduced to 3% after training programs.,Manufacturing,Indicates efficiency and quality issues.,"General Electric, Toyota, Siemens",Operations,Percentage of materials wasted in production.,Scrap Rate
"Finance, Operations",Inventory turnover improved to 8x annually.,Manufacturing,Tracks efficiency of stock management.,"General Electric, Toyota, Siemens",Finance,How often inventory is sold and replaced.,Inventory Turnover
"Operations, Finance",Cycle time dropped to 2.5 hours per unit.,Manufacturing,Helps track efficiency and throughput.,"General Electric, Toyota, Siemens",Operations,Time taken to produce one unit.,Cycle Time
"Operations, Quality Teams",Yield rate rose to 95% after process improvements.,Manufacturing,Indicates production quality.,"General Electric, Toyota, Siemens",Operations,Percentage of products manufactured correctly without rework.,Yield Rate
"Operations, Executive Team",OEE improved to 85% after new maintenance protocols.,Manufacturing,Indicates productivity of machinery.,"General Electric, Toyota, Siemens",Operations,"Measure of equipment efficiency (availability, performance, quality).",Overall Equipment Effectiveness (OEE)
"Operations, Executive Team",5G coverage expanded to 80% of population.,Telecommunications,Indicates competitiveness in next-gen networks.,"Verizon, AT&T, T-Mobile",Operations,Percentage of population covered by 5G service.,5G Coverage Percentage
"Product, Marketing",Customer satisfaction reached 87%.,Telecommunications,Tracks customer experience and loyalty.,"Verizon, AT&T, T-Mobile",Product,Survey-based measure of satisfaction.,Customer Satisfaction Index
"Finance, Executive Team",Revenue per tower rose by 12% in urban areas.,Telecommunications,Tracks infrastructure efficiency.,"Verizon, AT&T, T-Mobile",Finance,Revenue generated per cell tower asset.,Revenue per Cell Tower
"Finance, Marketing",Cost per gross add dropped to $120.,Telecommunications,Evaluates marketing and acquisition efficiency.,"Verizon, AT&T, T-Mobile",Finance,Average cost to add a new subscriber.,Cost per Gross Add
"Product, Operations",Average call duration is now 3.5 minutes.,Telecommunications,Shows customer behavior and network utilization.,"Verizon, AT&T, T-Mobile",Product,Average length of voice calls.,Average Call Duration
"Product, Finance",Data usage rose to 20GB per month per user.,Telecommunications,Tracks demand for mobile services.,"Verizon, AT&T, T-Mobile",Product,Average data consumed per user.,Data Usage per Subscriber
"Operations, Customer Success",Network uptime remained at 99.98%.,Telecommunications,Indicates quality and reliability of service.,"Verizon, AT&T, T-Mobile",Operations,Percentage of time network is available without outages.,Network Uptime
"Finance, Executive Team",Subscriber base grew by 8% last year.,Telecommunications,Measures network expansion and competitiveness.,"Verizon, AT&T, T-Mobile",Finance,Percentage increase in subscribers.,Subscriber Growth Rate
"Product, Finance",Churn fell to 1.5% after launching loyalty discounts.,Telecommunications,Tracks customer retention and competition.,"Verizon, AT&T, T-Mobile",Product,Percentage of customers leaving the service.,Churn Rate
"Finance, Executive Team",ARPU increased to $55 with new 5G plans.,Telecommunications,Key metric for telecom profitability.,"Verizon, AT&T, T-Mobile",Finance,Revenue generated per subscriber per month.,Average Revenue Per User (ARPU)
"Marketing, Product",NPS rose to +45 after streamlining claims process.,Insurance,Indicates customer perception of brand and service.,"Allstate, AIG, State Farm",Product,Measure of customer satisfaction and loyalty.,Net Promoter Score (NPS)
"Marketing, Finance",CAC dropped to $120 after digital campaign optimization.,Insurance,Evaluates marketing efficiency.,"Allstate, AIG, State Farm",Marketing,Average cost to acquire a new policyholder.,Customer Acquisition Cost (CAC)
"Finance, Regulators","Solvency ratio rose to 160%, above requirements.",Insurance,Indicates financial health and regulatory compliance.,"Allstate, AIG, State Farm",Finance,Measure of insurer’s capital relative to liabilities.,Solvency Ratio
"Finance, Executive Team",Expense ratio fell to 28% with automation.,Insurance,Tracks efficiency of insurance operations.,"Allstate, AIG, State Farm",Finance,Operating expenses as a percentage of premiums.,Expense Ratio
"Product, Marketing",Customer retention improved to 85% after loyalty rewards.,Insurance,Measures loyalty and long-term profitability.,"Allstate, AIG, State Farm",Product,Percentage of policyholders renewing coverage.,Retention Rate
"Operations, Finance",Claims severity increased by 8% due to medical inflation.,Insurance,Indicates risk cost and exposure severity.,"Allstate, AIG, State Farm",Operations,Average cost per claim.,Claims Severity
"Operations, Risk",Claims frequency rose in auto insurance after winter storms.,Insurance,Tracks risk exposure and portfolio health.,"Allstate, AIG, State Farm",Operations,Number of claims per policy or exposure.,Claims Frequency
"Finance, Executive Team",Premium growth rate hit 12% year-over-year.,Insurance,Shows business expansion and market competitiveness.,"Allstate, AIG, State Farm",Finance,Percentage increase in premiums written over time.,Premium Growth Rate
"Finance, Risk, Executive Team","The combined ratio dropped below 100%, meaning underwriting profit.",Insurance,Indicates overall profitability from underwriting operations.,"Allstate, AIG, State Farm",Industry Specific,Sum of loss ratio and expense ratio.,Combined Ratio
"Finance, Risk","The insurer’s loss ratio improved to 65%, showing better risk management.",Insurance,Measures underwriting profitability and efficiency.,"Allstate, AIG, State Farm",Industry Specific,Ratio of claims paid to premiums earned.,Loss Ratio
"Operations, Finance",Asset utilization rose to 82%.,Energy / Utilities,Shows efficiency of infrastructure use.,"ExxonMobil, NextEra Energy, Duke Energy",Operations,Percentage of capacity assets used.,Asset Utilization Rate
"Sustainability, Executive Team",CO₂ intensity dropped 15% year-over-year.,Energy / Utilities,Tracks environmental impact.,"ExxonMobil, NextEra Energy, Duke Energy",Sustainability,CO₂ emitted per unit of energy produced.,Carbon Emissions / CO₂ Intensity
"Product,Finance,Growth,Executive Team",Churn dropped to 3% after new loyalty plan.,Energy / Utilities,Measures satisfaction and competition.,"ExxonMobil, NextEra Energy, Duke Energy",Product,Percentage of customers switching providers.,Customer Churn Rate (retail energy providers)
"Finance, Executive Team",Cost per kWh fell to $0.08.,Energy / Utilities,Impacts pricing and profitability.,"ExxonMobil, NextEra Energy, Duke Energy",Finance,Average cost to produce/distribute energy.,Cost per kWh
"Executive Team, Sustainability Teams",Renewables reached 35% of total energy output.,Energy / Utilities,Indicates sustainability and compliance.,"ExxonMobil, NextEra Energy, Duke Energy",Industry Specific,Percentage of energy from renewable sources.,Renewable Energy Percentage
"Finance, Executive Team",Operating margin improved to 20%.,Energy / Utilities,Shows efficiency and profitability.,"ExxonMobil, NextEra Energy, Duke Energy",Finance,Operating profit as a percentage of revenue.,Operating Margin
"Operations, Executive Team",Grid reliability improved with fewer outages.,Energy / Utilities,Tracks service quality and stability.,"ExxonMobil, NextEra Energy, Duke Energy",Operations,Measures outage frequency and duration.,Grid Reliability (SAIDI/SAIFI)
"Operations, Executive Team","Peak demand hit 2,500 MW in July.",Energy / Utilities,Determines infrastructure needs.,"ExxonMobil, NextEra Energy, Duke Energy",Industry Specific,Maximum demand during a specific period.,Peak Demand
"Operations, Finance",Consumption per customer rose to 450 kWh/month.,Energy / Utilities,Helps forecast demand.,"ExxonMobil, NextEra Energy, Duke Energy",Product,Average energy consumed by customers.,Energy Consumption per Customer
"Operations, Executive Team","Energy production reached 5,000 MWh last quarter.",Energy / Utilities,Tracks supply capabilities.,"ExxonMobil, NextEra Energy, Duke Energy",Industry Specific,Amount of energy produced in a given period.,"Energy Production (MWh, kWh)"
"Operations, Finance",Return rate stabilized at 6% after new processes.,Logistics / Supply Chain,Shows efficiency in handling returns.,"FedEx, UPS, DHL",Operations,Percentage of items returned and processed.,Return/Reverse Logistics Rate
"Operations, Customer Success",Cycle time dropped to 3 days.,Logistics / Supply Chain,Tracks efficiency of supply chain process.,"FedEx, UPS, DHL",Operations,Time from order placement to delivery.,Customer Order Cycle Time
"Operations, Customer Success",Fill rate rose to 97% this month.,Logistics / Supply Chain,Indicates service quality and availability.,"FedEx, UPS, DHL",Operations,Percentage of customer demand met without stockouts.,Fill Rate
"Operations, Finance",Forecast accuracy improved to 92%.,Logistics / Supply Chain,Reduces overstock and stockouts.,"FedEx, UPS, DHL",Product,Accuracy of demand forecasts vs. actuals.,Forecast Accuracy
"Operations, Finance",Warehouse utilization reached 88%.,Logistics / Supply Chain,Tracks capacity and efficiency.,"FedEx, UPS, DHL",Operations,Percentage of storage space used effectively.,Warehouse Utilization Rate
"Finance, Operations",Cost per order decreased to $4.20.,Logistics / Supply Chain,Measures logistics efficiency.,"FedEx, UPS, DHL",Finance,Average transport cost per mile or order.,Transportation Cost per Mile / Order
"Operations, Customer Success",Order accuracy rose to 99%.,Logistics / Supply Chain,Shows operational quality and reduces costs.,"FedEx, UPS, DHL",Operations,Percentage of correct orders shipped.,Order Accuracy Rate
"Operations, Finance",Turnover ratio improved to 7x annually.,Logistics / Supply Chain,Indicates inventory efficiency.,"FedEx, UPS, DHL",Operations,Frequency inventory is sold and replaced.,Inventory Turnover Ratio
"Operations, Executive Team",Average delivery time fell to 2.5 days.,Logistics / Supply Chain,Measures speed of logistics network.,"FedEx, UPS, DHL",Operations,Average time to deliver orders.,Average Delivery Time
"Operations, Customer Success",On-time delivery improved to 95% this quarter.,Logistics / Supply Chain,Indicates reliability of logistics service.,"FedEx, UPS, DHL",Operations,Percentage of deliveries arriving on time.,On-Time Delivery Rate
"Operations, Finance",Our return rate decreased to 8% after better product descriptions.,E-Commerce / Retail,Impacts profit margins and customer satisfaction.,"Amazon, Shopify, Walmart, Backmarket",Operations,Percentage of orders returned/refunded.,Return Rate / Refund Rate
"Finance, Operations",Claims processing time dropped to 5 days.,Healthcare / Pharmaceuticals,Impacts patient satisfaction and hospital cash flow.,"Mayo Clinic, Pfizer, UnitedHealth Group",Operations,Average time to process insurance claims.,Claims Processing Time
"Product, Content Teams",Average watch time rose to 45 minutes per session.,Media / Entertainment / Streaming,Indicates engagement and content quality.,"Netflix, Spotify, Disney+",Product,Average time spent per viewing session.,Average Watch Time / Session Duration
"Marketing, Finance",Our CAC dropped to $40 after optimizing ad spend.,Technology / SaaS,Helps evaluate marketing efficiency and ROI.,"Salesforce, Zoom, Atlassian, Vimeo",Marketing,Average cost spent to acquire a new customer.,Customer Acquisition Cost (CAC)
"Product, Marketing",Retention improved to 40% after launching a loyalty program.,E-Commerce / Retail,Indicates loyalty and satisfaction.,"Amazon, Shopify, Walmart, Backmarket",Product,Percentage of customers who return to buy again.,Customer Retention Rate
"Finance, Marketing",The average LTV for premium users is $600 over three years.,Technology / SaaS,Shows long-term customer profitability.,"Salesforce, Zoom, Atlassian, Vimeo",Finance,Total revenue expected from a customer over their relationship.,Lifetime Value (LTV)
"Finance, Product",ARPU rose to $12 with new ad features.,Media / Entertainment / Streaming,Shows monetization efficiency.,"Netflix, Spotify, Disney+",Finance,Average revenue per subscriber.,Average Revenue Per User (ARPU)
"Clinical Teams, Executive Team",Mortality rate dropped to 2% for cardiac patients.,Healthcare / Pharmaceuticals,Critical indicator of healthcare quality.,"Mayo Clinic, Pfizer, UnitedHealth Group",Industry Specific,Percentage of patients who die during treatment.,Mortality Rate
"Finance, Operations","Cost per patient fell to $2,000 after new protocols.",Healthcare / Pharmaceuticals,Tracks efficiency and profitability.,"Mayo Clinic, Pfizer, UnitedHealth Group",Finance,Average cost of treating a patient.,Cost per Patient
"Finance, Executive Team",Net profit margin improved to 15% this quarter.,E-Commerce / Retail,Shows overall business profitability.,"Amazon, Shopify, Walmart, Backmarket",Finance,Net income as a percentage of revenue.,Net Profit Margin
"Finance, Executive Team","Revenue per patient rose to $5,000 in specialized care.",Healthcare / Pharmaceuticals,Helps track financial sustainability.,"Mayo Clinic, Pfizer, UnitedHealth Group",Finance,Revenue generated per patient treated.,Revenue per Patient
"Finance, Marketing",Our LTV:CAC ratio improved to 4:1.,E-Commerce / Retail,Shows profitability relative to acquisition cost.,"Amazon, Shopify, Walmart, Backmarket",Finance,Revenue expected over the lifetime of a customer.,Lifetime Value (LTV)
"Marketing, Finance",CPM increased to $8 during peak season.,Media / Entertainment / Streaming,Tracks ad revenue potential.,"Netflix, Spotify, Disney+",Marketing,Number of ad impressions and cost per thousand views.,Ad Impressions / CPM
"Operations, Finance",The average length of stay decreased to 4.5 days.,Healthcare / Pharmaceuticals,Helps track efficiency and resource allocation.,"Mayo Clinic, Pfizer, UnitedHealth Group",Operations,Average number of days a patient spends in hospital.,Average Length of Stay
"Finance, Executive Team","We achieved 120% NRR, meaning upsells exceeded churn.",Technology / SaaS,Shows ability to grow existing customer base.,"Salesforce, Zoom, Atlassian, Vimeo",Finance,Percentage of recurring revenue retained (upsells and downgrades).,Net Revenue Retention (NRR)
"Marketing, Finance",The AOV increased to $75 after bundling products.,E-Commerce / Retail,Shows purchasing behavior and upsell opportunities.,"Amazon, Shopify, Walmart, Backmarket",Finance,Average value of each customer order.,Average Order Value (AOV)
"Operations, Clinical Teams",Readmission rate fell to 10% after new discharge protocols.,Healthcare / Pharmaceuticals,Measures care quality and effectiveness.,"Mayo Clinic, Pfizer, UnitedHealth Group",Operations,Percentage of patients readmitted within 30 days.,Readmission Rate
"Product, Finance",Our churn rate decreased from 8% to 5% this month.,Technology / SaaS,Measures customer retention and satisfaction.,"Salesforce, Zoom, Atlassian, Vimeo",Product,Percentage of customers who cancel subscriptions.,Churn Rate
"Product, Growth",MAU surpassed 50M last quarter.,Media / Entertainment / Streaming,Shows audience size and reach.,"Netflix, Spotify, Disney+",Industry Specific,Unique monthly users.,Monthly Active Users (MAU)
"Product, Marketing",Engagement rose to 25% for interactive content.,Media / Entertainment / Streaming,Measures popularity and user activity.,"Netflix, Spotify, Disney+",Marketing,Percentage of users interacting with content.,Engagement Rate
Content Teams,Completion rate reached 80% for new documentaries.,Media / Entertainment / Streaming,Indicates quality and engagement.,"Netflix, Spotify, Disney+",Product,Percentage of users finishing content.,Content Completion Rate
Clinical Teams,Treatment adherence improved to 80% after reminders.,Healthcare / Pharmaceuticals,Shows treatment effectiveness and patient compliance.,"Mayo Clinic, Pfizer, UnitedHealth Group",Product,Percentage of patients following prescribed treatment.,Treatment Adherence Rate
"Operations, Patient Care",Average patient wait time dropped to 20 minutes.,Healthcare / Pharmaceuticals,Indicates efficiency of service delivery.,"Mayo Clinic, Pfizer, UnitedHealth Group",Operations,Average time patients wait for care.,Patient Wait Time
"Marketing, Product",Cart abandonment fell from 70% to 60% after redesigning checkout.,E-Commerce / Retail,Highlights friction in checkout funnel.,"Amazon, Shopify, Walmart, Backmarket",Marketing,Percentage of users leaving carts without purchase.,Cart Abandonment Rate
"Product, Growth","The app averages 10,000 DAU, which reflects consistent daily use.",Technology / SaaS,Shows daily engagement and product relevance in user routines.,"Salesforce, Zoom, Atlassian, Vimeo",Industry Specific,The number of unique users engaging daily.,Daily Active Users (DAU)
"Product, Finance",Churn fell to 4% after launching new pricing tiers.,Media / Entertainment / Streaming,Tracks customer retention.,"Netflix, Spotify, Disney+",Product,Percentage of subscribers who cancel.,Customer Churn Rate
"Executive Team, Finance",GMV reached $50M during the holiday season.,E-Commerce / Retail,Measures total marketplace sales volume.,"Amazon, Shopify, Walmart, Backmarket",Industry Specific,Total value of goods sold over a period.,Gross Merchandise Value (GMV)
"Product, Executive Team",Retention improved to 70% after personalized recommendations.,Media / Entertainment / Streaming,Tracks long-term platform health.,"Netflix, Spotify, Disney+",Product,Percentage of users staying active over time.,Retention Rate
"Marketing, Product",The landing page has a 15% conversion rate.,Technology / SaaS,Tracks funnel effectiveness and user onboarding.,"Salesforce, Zoom, Atlassian, Vimeo",Marketing,Percentage of visitors who convert to customers.,Conversion Rate
"Operations, Executive Team",Bed occupancy reached 85% during flu season.,Healthcare / Pharmaceuticals,Reflects hospital resource utilization.,"Mayo Clinic, Pfizer, UnitedHealth Group",Industry Specific,Percentage of hospital beds occupied.,Bed Occupancy Rate
"Product, Growth",DAU reached 2M after a hit show release.,Media / Entertainment / Streaming,Tracks platform activity and engagement.,"Netflix, Spotify, Disney+",Industry Specific,Number of unique daily users.,Daily Active Users (DAU)
"Finance, Executive Team","ARR increased to $12M, showing solid year-over-year growth.",Technology / SaaS,Critical for long-term planning and valuation.,"Salesforce, Zoom, Atlassian, Vimeo",Finance,Predictable annual subscription revenue.,Annual Recurring Revenue (ARR)
"Marketing, Finance",CAC rose to $55 due to higher competition in ads.,E-Commerce / Retail,Tracks efficiency of ad spend and campaigns.,"Amazon, Shopify, Walmart, Backmarket",Marketing,Average cost to acquire a new customer.,Customer Acquisition Cost (CAC)
"Operations, Executive Team",Patient satisfaction score rose to 92%.,Healthcare / Pharmaceuticals,Indicates patient experience and quality of care.,"Mayo Clinic, Pfizer, UnitedHealth Group",Product,Survey-based measure of patient satisfaction.,Patient Satisfaction Score (HCAHPS)
"Finance, Executive Team",Subscriber growth rate hit 10% month-over-month.,Media / Entertainment / Streaming,Measures platform growth.,"Netflix, Spotify, Disney+",Finance,Percentage increase in subscribers.,Subscriber Growth Rate
"Finance, Product",Our ARPU increased from $20 to $25 per month.,Technology / SaaS,Indicates monetization efficiency.,"Salesforce, Zoom, Atlassian, Vimeo",Finance,Average revenue generated per user.,Average Revenue Per User (ARPU)
"Operations, Finance",Inventory turnover improved to 6x per year.,E-Commerce / Retail,Indicates efficiency of stock management.,"Amazon, Shopify, Walmart, Backmarket",Operations,How often inventory is sold and replaced.,Inventory Turnover
"Finance, Executive Team","We hit $1M in MRR this quarter, exceeding projections.",Technology / SaaS,Key for forecasting and stability in SaaS.,"Salesforce, Zoom, Atlassian, Vimeo",Finance,Predictable monthly revenue from subscriptions.,Monthly Recurring Revenue (MRR)
"Marketing, Finance",Revenue per visitor increased to $2.50 after optimizing site layout.,E-Commerce / Retail,Measures conversion and monetization effectiveness.,"Amazon, Shopify, Walmart, Backmarket",Marketing,Average revenue earned per site visitor.,Revenue per Visitor (RPV)
"Product, Growth, Executive Team","Our MAU grew from 50,000 to 75,000 in Q2, showing increased adoption.",Technology / SaaS,Indicates growth and product stickiness over time.,"Salesforce, Zoom, Atlassian, Vimeo",Industry Specific,The number of unique users engaging with the product in a month.,Monthly Active Users (MAU)
